,이상,주체,정신,담론,이데올로기,타자,이미지,존재,형식,역사,시간,도시,식민지,공간,인식,국문,의식,부정,자아,죽음,세계,기억,현실,소외,확장,지향,생명,의미,구조,윤리,1960년대,소설,구성,방식,사회,여성,모색,감각,언어,형성,근대,정체성,발견,체험,재현,민중,공동체,사상,자유,개념,상상력,미학,자연,시학,추구,비판,민족,배경,욕망,수용,시대,저항,의지,폭력,극복,현실 인식,현대,표상,대응,영화,정치,문화,작품,형상화,시각,전통,해체,1930년대,작가,조선,비교,대중,가족,고향,변화,인물,권력,서사,텍스트,1970년대,전략,관계,실천,사랑,비평,1980년대,서술,전쟁,인간,글쓰기
현실 인식,0.08039680390977039,0.06323613924691447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041998872878246225,0.015059067568597463,0.0,0.0,0.0,0.03817648795732632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04910555324911617,0.0,0.09725427856375031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04123731084741563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008462126715584049,0.0,0.0,0.0,0.0,0.0,0.0,0.02428486083588667,0.0,0.0,0.0,0.0,0.014377682765594417,0.04056638269655137,0.0,0.0,0.0,0.003192254138056976,0.07519069023613723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
현대,0.0,0.0,0.005441601207461828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007894809999679842,0.04392820025105761,0.09710291845929594,0.0,0.0,0.0,0.003318688090350303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05392995060574521,0.005116328405009962,0.09100592132290292,0.0,0.0,0.0,0.0,0.0,0.0,0.09018412172077801,0.0,0.0074845644191071925,0.0,0.0,0.0,0.0,0.019231628048712885,0.02946053081266194,0.028988457297795756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.08739239129920813,0.0,0.0016150187405862893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5881924780114058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
표상,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18574124662637978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015530919141523157,0.014250385555621392,0.012651032138067031,0.0,0.0,0.0,0.0,0.0,0.10059089989858071,0.029850834164152695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021452939797353486,0.0,0.029522481214437853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05731749053965927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08739239129920813,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07549631686144827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027649287663395892,0.0,0.0,0.0,0.0
대응,0.013378861765690078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03483537596201212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007073155256954335,0.0,0.07521231768398011,0.06352465192968716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014182825840392481,0.0,0.0,0.0,0.0,0.014019619865733449,0.0,0.0,0.0,0.0,0.028487909570133346,0.0,0.0,0.05484426099524943,0.0,0.0,0.0,0.04138972702125173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026082336401803245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.024817509725573395,0.0,0.11318744708185526,0.1008473470384198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18459987273006312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0194320077399455,0.0,0.0,0.0,0.019069367085901262,0.0,0.0,0.0,0.0
영화,0.0,0.0,0.0,0.0,0.0,0.07145329835606065,0.0,0.0,0.022504223512200747,0.0,0.0,0.0,0.0,0.0,0.0,0.007414110536619151,0.0,0.009968615859553035,0.0360783366917691,0.0845485651481169,0.04874158593505167,0.0,0.0,0.010092509537647235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07665756263182474,0.0,0.0,0.04966498623747974,0.0,0.04478913876868502,0.07052545402730365,0.0,0.0,0.010462165609844297,0.0,0.0634395705110355,0.0,0.020969582193537006,0.0,0.0,0.0,0.0,0.0,0.005079351062687283,0.0,0.0,0.010022941689365789,0.1725489578822146,0.30974832015578063,0.0,0.03127556036045419,0.0,0.0037239824146711865,0.007402254220196786,0.007570073112292686,0.0,0.013367621955129375,0.0,0.0016150187405862893,0.0,0.024817509725573395,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005426002084977869,0.0,0.10019385097617296,0.0,0.014407432870451313,0.0,0.0,0.0,0.003448396362679204,0.0,0.011792151861191653,0.0,0.0,0.0050573220080957155,0.0,0.0,0.0,0.0,0.0
정치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02651416205748039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1664740200932271,0.0,0.0,0.043404079180389674,0.0,0.0,0.0,0.05180750036977841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10694338455067479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1149769560259208,0.0,0.0,0.1267412063408236,0.0,0.0,0.0,0.041897433693468225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025138753551798426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04190600153663529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07760222497298802,0.0
문화,0.00992689991585036,0.0030084647278716113,0.0,0.0,0.0,0.0,0.0,0.0,0.050147907680779064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014160647178814463,0.022988046260385163,0.009066568725836558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01040233210438773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035762934189612273,0.0,0.0,0.0,0.0,0.044333848426908365,0.0,0.0,0.0,0.0,0.0,0.0,0.006303390563147196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11318744708185526,0.0,0.0,1.0,0.15318184930022083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02636172942411223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021627355081860228,0.0,0.0,0.0,0.014149163197560615,0.0,0.0,0.0,0.0
작품,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025493339819540457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04528979352247595,0.009932908903317704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02183603185073136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1008473470384198,0.0,0.0,0.15318184930022083,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012984109969480916,0.0,0.0,0.0413597614168511,0.0,0.0,0.0,0.0,0.021304517030285228,0.0,0.1804285712400471,0.0,0.0,0.0,0.0,0.0,0.0
형상화,0.0,0.0,0.017472814212870016,0.0,0.23360488950077368,0.0,0.0,0.0,0.0,0.0,0.38946331901885717,0.0,0.0,0.0,0.05991924167372212,0.0,0.071507443604441,0.0,0.011723147987789057,0.02757568210486326,0.0,0.0,0.07235134785444969,0.043512771068858126,0.0,0.0,0.0,0.031474874136252676,0.0,0.0,0.0,0.0,0.009483158904802367,0.0542797331319253,0.0,0.04512840172652114,0.06339342832871513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12782563673570335,0.04598027143438909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03968080548781389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.0,0.16324065102007468,0.20243169705288175,0.0,0.0,0.0,0.10997273595531869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004188494961501876,0.0,0.0,0.05484711662698161,0.012305138160312137,0.0,0.0,0.0,0.0
시각,0.018782809228866968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22561637725288283,0.0,0.0,0.0,0.015354521935067525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4335026986103197,0.0,0.0,0.0,0.0,0.0377756505307299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07191517937600303,0.0,0.0,0.0,0.0,0.03165857078622088,0.0034034535720530125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03694221063239184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008462126715584049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1541729121291072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00385788939278152,0.013125343388477687,0.0,0.0,0.0,0.012361946243650484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
