,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7
topic0,1.000000000000002,0.10762309188481134,0.07159986920351265,0.09204110989201547,0.11624875656988794,0.12270852419477879,0.1542749718295692,0.09587212600745111
topic1,0.10762309188481134,1.000000000000001,0.15449293566474778,0.07145599126879194,0.1362238877179512,0.11401922266066027,0.16224366438619636,0.14460808956735316
topic2,0.07159986920351265,0.15449293566474778,0.9999999999999988,0.16589285372020493,0.2671201571307925,0.04639600156583216,0.13972076560815413,0.16273538326612658
topic3,0.09204110989201547,0.07145599126879194,0.16589285372020493,1.0000000000000018,0.15292831538598398,0.1252713638481949,0.22656033528595584,0.2253160263751999
topic4,0.11624875656988794,0.1362238877179512,0.2671201571307925,0.15292831538598398,0.9999999999999993,0.051416974667493176,0.20819119148988624,0.11536647305845038
topic5,0.12270852419477879,0.11401922266066027,0.04639600156583216,0.1252713638481949,0.051416974667493176,1.0000000000000004,0.13851929215149136,0.1723468343938056
topic6,0.1542749718295692,0.16224366438619636,0.13972076560815413,0.22656033528595584,0.20819119148988624,0.13851929215149136,0.9999999999999984,0.253837256422108
topic7,0.09587212600745111,0.14460808956735316,0.16273538326612658,0.2253160263751999,0.11536647305845038,0.1723468343938056,0.253837256422108,0.9999999999999991
