,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7
topic0,0.9999999999999998,0.10301391146080047,0.07812431476641366,0.0837646067327703,0.13546076212580418,0.14076110767362304,0.1495004893685549,0.07452889531211557
topic1,0.10301391146080047,0.9999999999999999,0.15427050324284788,0.04819591331269593,0.12257836960107464,0.07929093577878649,0.17634955811391584,0.13417723264398057
topic2,0.07812431476641366,0.15427050324284788,0.9999999999999998,0.16304682919086377,0.2669437478117891,0.04489004984127413,0.14301753109156065,0.14190829254285106
topic3,0.0837646067327703,0.04819591331269593,0.16304682919086377,0.9999999999999997,0.1408233160005982,0.1291865975753468,0.23103857438780398,0.1977148734909382
topic4,0.13546076212580418,0.12257836960107464,0.2669437478117891,0.1408233160005982,0.9999999999999993,0.05186625410652142,0.20749225444441954,0.0870445702003707
topic5,0.14076110767362304,0.07929093577878649,0.04489004984127413,0.1291865975753468,0.05186625410652142,0.9999999999999984,0.16057399367464592,0.1531305491760374
topic6,0.1495004893685549,0.17634955811391584,0.14301753109156065,0.23103857438780398,0.20749225444441954,0.16057399367464592,0.9999999999999989,0.2501351930871474
topic7,0.07452889531211557,0.13417723264398057,0.14190829254285106,0.1977148734909382,0.0870445702003707,0.1531305491760374,0.2501351930871474,1.0
