,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7
topic0,0.9999999999999987,0.11819540289415326,0.06457029722930732,0.10014327732946628,0.09444177026733401,0.10254641246154192,0.16190000720676012,0.11577554586684675
topic1,0.11819540289415326,0.9999999999999993,0.15967767726844992,0.10645250695476224,0.1610501306901947,0.17152947624298734,0.13812459122875753,0.16790043317215575
topic2,0.06457029722930732,0.15967767726844992,1.0,0.16938143176671774,0.26758099373945254,0.048135427243365614,0.13658421912586033,0.18310526219234083
topic3,0.10014327732946628,0.10645250695476224,0.16938143176671774,0.9999999999999994,0.16670377387568158,0.12237057579143425,0.2272226481399437,0.24753805790353994
topic4,0.09444177026733401,0.1610501306901947,0.26758099373945254,0.16670377387568158,1.0000000000000002,0.05087774498748472,0.20989935719869274,0.14462232116799484
topic5,0.10254641246154192,0.17152947624298734,0.048135427243365614,0.12237057579143425,0.05087774498748472,1.0000000000000004,0.10933309989709739,0.19272304058027823
topic6,0.16190000720676012,0.13812459122875753,0.13658421912586033,0.2272226481399437,0.20989935719869274,0.10933309989709739,1.0000000000000004,0.265766205274901
topic7,0.11577554586684675,0.16790043317215575,0.18310526219234083,0.24753805790353994,0.14462232116799484,0.19272304058027823,0.265766205274901,0.9999999999999992
